stock_code,stock_name,review_universe_source,source_file,source_type,source_title,research_only,used_for_signal,used_for_admission
000049,德赛电池,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_latent_standard_backfill_queue_v1/cninfo_primary_source_pdfs/000049_德赛电池_2025-08-26_半年报_2025年半年度报告_1224564011.pdf,interim_report,2025年半年度报告,True,False,False
000049,德赛电池,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_latent_standard_backfill_queue_v1/cninfo_primary_source_pdfs/000049_德赛电池_2026-04-23_年报_2025年年度报告_1225146147.pdf,annual_report,2025年年度报告,True,False,False
000049,德赛电池,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_latent_standard_backfill_queue_v1/cninfo_primary_source_pdfs/000049_德赛电池_2026-04-23_日常经营_关于2026年度用自有资金购买银行理财产品的公告_1225152762.pdf,announcement,关于2026年度用自有资金购买银行理财产品的公告,True,False,False
000400,许继电气,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_remaining_primary_source_collection_v1/cninfo_primary_source_pdfs/000400_许继电气_2025-08-21_半年报_2025年半年度报告_1224525622.pdf,interim_report,2025年半年度报告,True,False,False
000400,许继电气,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_remaining_primary_source_collection_v1/cninfo_primary_source_pdfs/000400_许继电气_2026-04-11_年报_2025年年度报告_1225096177.pdf,annual_report,2025年年度报告,True,False,False
000400,许继电气,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_remaining_primary_source_collection_v1/cninfo_primary_source_pdfs/000400_许继电气_2026-05-08_日常经营_关于产品中标的自愿性信息披露公告_1225281351.pdf,announcement,关于产品中标的自愿性信息披露公告,True,False,False
000551,创元科技,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_false_negative_rescue_primary_source_backfill_v1/cninfo_primary_source_pdfs/000551_创元科技_2025-08-19_半年报_2025年半年度报告_1224501818.pdf,interim_report,2025年半年度报告,True,False,False
000551,创元科技,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_false_negative_rescue_primary_source_backfill_v1/cninfo_primary_source_pdfs/000551_创元科技_2026-04-08_年报_2025年年度报告_1225082641.pdf,annual_report,2025年年度报告,True,False,False
000551,创元科技,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_false_negative_rescue_primary_source_backfill_v1/cninfo_primary_source_pdfs/000551_创元科技_2026-06-24_日常经营_关于职工代表董事辞职及选举职工代表董事的公告_1225382872.pdf,announcement,关于职工代表董事辞职及选举职工代表董事的公告,True,False,False
000657,中钨高新,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_data_gap_primary_source_backfill_v1/cninfo_primary_source_pdfs/000657_中钨高新_2025-08-27_半年报_2025年半年度报告_1224577056.pdf,interim_report,2025年半年度报告,True,False,False
000657,中钨高新,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_data_gap_primary_source_backfill_v1/cninfo_primary_source_pdfs/000657_中钨高新_2026-04-27_年报_2025年年度报告_1225183873.pdf,annual_report,2025年年度报告,True,False,False
000657,中钨高新,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_data_gap_primary_source_backfill_v1/cninfo_primary_source_pdfs/000657_中钨高新_2026-06-13_日常经营_关于调整2026年度与中国五矿日常关联交易预计的公告_1225368472.pdf,announcement,关于调整2026年度与中国五矿日常关联交易预计的公告,True,False,False
000682,东方电子,v7_proposal_new,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_latent_manual_review_collection_batch1_v1/cninfo_primary_source_pdfs/000682_东方电子_2025-08-23_半年报_2025年半年度报告_1224554285.pdf,interim_report,2025年半年度报告,True,False,False
000682,东方电子,v7_proposal_new,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_latent_manual_review_collection_batch1_v1/cninfo_primary_source_pdfs/000682_东方电子_2026-04-24_年报_2025年年度报告_1225161855.pdf,annual_report,2025年年度报告,True,False,False
000682,东方电子,v7_proposal_new,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_latent_manual_review_collection_batch1_v1/cninfo_primary_source_pdfs/000682_东方电子_2026-05-13_日常经营_关于参加2026年山东辖区上市公司投资者网上集体接待日活动的公告_1225300811.pdf,announcement,关于参加2026年山东辖区上市公司投资者网上集体接待日活动的公告,True,False,False
000777,中核科技,v7_proposal_new,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_latent_manual_review_standard_collection_v1/cninfo_primary_source_pdfs/000777_中核科技_2025-08-28_半年报_2025年半年度报告_1224595951.pdf,interim_report,2025年半年度报告,True,False,False
000777,中核科技,v7_proposal_new,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_latent_manual_review_standard_collection_v1/cninfo_primary_source_pdfs/000777_中核科技_2026-04-28_年报_2025年年度报告_1225216044.pdf,annual_report,2025年年度报告,True,False,False
000777,中核科技,v7_proposal_new,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_latent_manual_review_standard_collection_v1/cninfo_primary_source_pdfs/000777_中核科技_2026-05-28_日常经营_关于参加中核集团集体投资者交流会的公告_1225332612.pdf,announcement,关于参加中核集团集体投资者交流会的公告,True,False,False
000811,冰轮环境,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_expansion_queue_primary_source_backfill_v1/cninfo_primary_source_pdfs/000811_冰轮环境_2025-08-21_半年报_2025年半年度报告_1224524269.pdf,interim_report,2025年半年度报告,True,False,False
000811,冰轮环境,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_expansion_queue_primary_source_backfill_v1/cninfo_primary_source_pdfs/000811_冰轮环境_2026-04-11_年报_2025年年度报告_1225092828.pdf,annual_report,2025年年度报告,True,False,False
000811,冰轮环境,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_expansion_queue_primary_source_backfill_v1/cninfo_primary_source_pdfs/000811_冰轮环境_2026-07-07_日常经营_关于收购控股子公司北京华源泰盟节能设备有限公司少数股权涉及关联交易的公告_1225411831.pdf,announcement,关于收购控股子公司北京华源泰盟节能设备有限公司少数股权涉及关联交易的公告,True,False,False
000967,盈峰环境,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_false_negative_rescue_primary_source_backfill_v1/cninfo_primary_source_pdfs/000967_盈峰环境_2025-08-23_半年报_2025年半年度报告_1224554214.pdf,interim_report,2025年半年度报告,True,False,False
000967,盈峰环境,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_false_negative_rescue_primary_source_backfill_v1/cninfo_primary_source_pdfs/000967_盈峰环境_2026-05-20_年报_2025年年度报告(英文版）_1225317378.pdf,annual_report,2025年年度报告(英文版）,True,False,False
000967,盈峰环境,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_false_negative_rescue_primary_source_backfill_v1/cninfo_primary_source_pdfs/000967_盈峰环境_2026-07-02_日常经营_关于公司对子公司担保事项进展的公告_1225403884.pdf,announcement,关于公司对子公司担保事项进展的公告,True,False,False
