stock_code,stock_name,review_universe_source,source_file,source_type,source_title,source_date,page,evidence_text,evidence_claim_type,citation_quality,research_only,used_for_signal,used_for_admission
000049,德赛电池,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_latent_standard_backfill_queue_v1/cninfo_primary_source_pdfs/000049_德赛电池_2025-08-26_半年报_2025年半年度报告_1224564011.pdf,interim_report,2025年半年度报告,,10,深圳市德赛电池科技股份有限公司 2025 年半年度报告全文 9 产计划并组织生产。储能电芯产品为标准化产品，公司综合评估客户需求与产能利用情况，制定生产计划 并组织生产。公司拥有完善的质量管控体系，生产自动化水平处于行业先进水平。 （3）销售模式 公司主要围绕行业排名前列的核心客户开展业务，采取直接销售模式，由终端客户直接向公司下单或 由终端客户指定的代工厂向公司下单。经过多年的发展，公司积累了大量的优质客户资源，与主要客户建 立了长期稳定的合作关系，积极广泛地参与客户产品项目的前期研发设计并实现销售。 4、公司行,hard_tech_exposure|architecture_shift|customer_certification|order_or_capacity|disconfirmation_or_risk|primary_periodic_disclosure,page_level,True,False,False
000049,德赛电池,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_latent_standard_backfill_queue_v1/cninfo_primary_source_pdfs/000049_德赛电池_2025-08-26_半年报_2025年半年度报告_1224564011.pdf,interim_report,2025年半年度报告,,11,深圳市德赛电池科技股份有限公司 2025 年半年度报告全文 10 电动工具、吸尘器、储能等锂电池产品领域的技术水平处于全球领先地位。公司拥有多项专利，专利数量 处于行业前列。 4、良好的品质保障能力 公司长期服务于全球高端消费类厂商，积累了丰富的制程管理经验，拥有完善的质量管控体系，公司 持续完善品质控制预防体系，强调预防和过程控制，产品品质获得客户肯定，使得公司在智能手机、智能 穿戴、笔记本电脑、电动工具、吸尘器、储能等锂电池电源管理及封装集成领域获得了较高的市场份额。 5、领先的自动化水平 公司持续提升智能制造,hard_tech_exposure|architecture_shift|customer_certification|revenue_trace|financial_trace|disconfirmation_or_risk|primary_periodic_disclosure,page_level,True,False,False
000049,德赛电池,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_latent_standard_backfill_queue_v1/cninfo_primary_source_pdfs/000049_德赛电池_2025-08-26_半年报_2025年半年度报告_1224564011.pdf,interim_report,2025年半年度报告,,12,"深圳市德赛电池科技股份有限公司 2025 年半年度报告全文 11 本报告期 上年同期 同比增减 变动原因 所得税费用 -35,680,278.57 -31,581,795.30 -12.98% 研发投入 460,351,279.68 387,560,387.58 18.78% 经营活动产生的现金流量净额 600,022,575.66 364,270,850.04 64.72% 主要系前期销售旺季形成应 收账款到期回款 投资活动产生的现金流量净额 -59,073,925.40 -2,193,698,268.09 97",hard_tech_exposure|revenue_trace|financial_trace|primary_periodic_disclosure,page_level,True,False,False
000049,德赛电池,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_latent_standard_backfill_queue_v1/cninfo_primary_source_pdfs/000049_德赛电池_2025-08-26_半年报_2025年半年度报告_1224564011.pdf,interim_report,2025年半年度报告,,17,深圳市德赛电池科技股份有限公司 2025 年半年度报告全文 16 风险、操作风险、法律 风险等） 而产生公允价值变动损益，至到期日公允价值变动损益的累计值等于交易损益； 2、信用风险：公司进行的衍生品投资交易对手均为信用良好且与公司已建立长期业务往来的银 行，履约风险较低； 3、流动性风险：公司目前开展的金融衍生品业务限于银行柜台交易，存在平仓斩仓损失而须向银 行支付费用的风险；公司目前开展的金融衍生品业务均根据公司未来的外汇收付款预算及外汇资 产负债状况进行操作，流动性风险较小； 4、操作风险：内部流程不完善、员,financial_trace|disconfirmation_or_risk|primary_periodic_disclosure,page_level,True,False,False
000049,德赛电池,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_latent_standard_backfill_queue_v1/cninfo_primary_source_pdfs/000049_德赛电池_2025-08-26_半年报_2025年半年度报告_1224564011.pdf,interim_report,2025年半年度报告,,18,"深圳市德赛电池科技股份有限公司 2025 年半年度报告全文 17 2、出售重大股权情况 □适用 不适用 八、主要控股参股公司分析 适用 □不适用 主要子公司及对公司净利润影响达 10%以上的参股公司情况 单位：万元 公司名称 公司类型 主要业务 注册资本 总资产 净资产 营业收入 营业利润 净利润 惠州市蓝微电子 有限公司 子公司 中小型锂电池电 源管理系统业务 28,000.00 364,618.56 202,765.03 286,945.83 14,881.59 13,790.83 惠州市德赛电池 有限公司",architecture_shift|order_or_capacity|revenue_trace|financial_trace|disconfirmation_or_risk|primary_periodic_disclosure,page_level,True,False,False
000049,德赛电池,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_latent_standard_backfill_queue_v1/cninfo_primary_source_pdfs/000049_德赛电池_2025-08-26_半年报_2025年半年度报告_1224564011.pdf,interim_report,2025年半年度报告,,19,深圳市德赛电池科技股份有限公司 2025 年半年度报告全文 18 新、技术创新和业务开拓力度，持续提升生产质效、降低生产成本、优化产品结构，提高精细化管理水平， 持续提升核心竞争力。 3、客户相对集中的风险 报告期内，公司前五大客户销售金额占当期营业收入的比例为55.37%。公司对前五大客户的销售占营 业收入的比例相对较高，主要系由于公司客户多为下游知名终端厂商，市场占有率高。如果公司主要客户 短期内订单不足、经营情况出现较大不利变化或者回款不及时，将会对公司经营产生不利影响。公司以持 续优化产品结构和客户结构为主,hard_tech_exposure|customer_certification|order_or_capacity|revenue_trace|disconfirmation_or_risk|primary_periodic_disclosure,page_level,True,False,False
000049,德赛电池,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_latent_standard_backfill_queue_v1/cninfo_primary_source_pdfs/000049_德赛电池_2025-08-26_半年报_2025年半年度报告_1224564011.pdf,interim_report,2025年半年度报告,,53,深圳市德赛电池科技股份有限公司 2025 年半年度报告全文 52 3. 按单项计提预期信用损失的应收款项和合同资产的认定标准 对信用风险与组合信用风险显著不同的应收款项和合同资产，公司按单项计提预期信用 损失。 (十三) 存货 1. 存货的分类 存货包括在日常活动中[research-redacted]以备出售的产成品或商品、 处在生产过程中的在产品、 在生产 过程或提供劳务过程中耗用的材料和物料等。 2. 发出存货的计价方法 发出存货采用加权平均法。 3. 存货的盘存制度 存货的盘存制度为永续盘存制。 4. 低值,hard_tech_exposure|financial_trace|disconfirmation_or_risk|primary_periodic_disclosure,page_level,True,False,False
000049,德赛电池,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_latent_standard_backfill_queue_v1/cninfo_primary_source_pdfs/000049_德赛电池_2025-08-26_半年报_2025年半年度报告_1224564011.pdf,interim_report,2025年半年度报告,,9,深圳市德赛电池科技股份有限公司 2025 年半年度报告全文 8 第三节 管理层讨论与分析 一、报告期内公司从事的主要业务 1、报告期内公司所处行业发展情况 2025年上半年，锂电池市场延续高增长态势，高工产研锂电研究所（GGII）初步调研数据显示，2025 上半年中国锂电池出货量 776GWh， 同比增长68%， 其中动力、 储能电池出货量分别为477GWh、265GWh， 同比增长分别为 49%、128%。 公司锂电池产品主要应用于消费类电子产品，包括智能手机、笔记本和平板电脑、智能穿戴设备、电 动工具、智能家居,hard_tech_exposure|architecture_shift|customer_certification|order_or_capacity|primary_periodic_disclosure,page_level,True,False,False
000049,德赛电池,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_latent_standard_backfill_queue_v1/cninfo_primary_source_pdfs/000049_德赛电池_2026-04-23_年报_2025年年度报告_1225146147.pdf,annual_report,2025年年度报告,,10,深圳市德赛电池科技股份有限公司 2025 年年度报告全文 10 第三节 管理层讨论与分析 一、报告期内公司从事的主要业务 1、公司主要业务、主要产品及其用途 公司主要围绕锂电池产业链进行业务布局，立足电源管理系统及封装集成业务，正大力开拓新 业务，发展 SIP 先进封装和储能电芯等战略新兴业务，持续优化产业布局。智能手机、笔记本和平 板电脑、智能穿戴设备、电动工具、智能家居和出行产品、储能产品是公司锂电池产品的主要应用 领域。 2、公司主要经营模式 公司拥有成熟的采购、生产和销售体系，采取“以销定产、以产定采”为主,hard_tech_exposure|architecture_shift|customer_certification|order_or_capacity|primary_periodic_disclosure,page_level,True,False,False
000049,德赛电池,v5_hydrated,/Users/xiwei/stock_research/outputs/research/tech_bottleneck_latent_standard_backfill_queue_v1/cninfo_primary_source_pdfs/000049_德赛电池_2026-04-23_年报_2025年年度报告_1225146147.pdf,annual_report,2025年年度报告,,12,深圳市德赛电池科技股份有限公司 2025 年年度报告全文 12 公司是国内最早从事锂电池电源管理系统及封装集成业务的生产制造企业，具备多年的生产管 理经验和领先的制造工艺水平，在解决一些瓶颈工艺问题上具有独特的优势。公司持续投入，不断 探索和提升设备创新能力和制造柔性水平，着力打造高效制造平台。公司根据不同产品的工艺特点， 通过生产工艺的调整与创新，优化生产布局，实行柔性化和自动化相结合的生产管理，智能制造能 力不断夯实，制造效率不断提升。公司建立了生产信息化管理体系，实现了产品制造、品质等相关 信息一体化管理，确,hard_tech_exposure|customer_certification|revenue_trace|financial_trace|disconfirmation_or_risk|primary_periodic_disclosure,page_level,True,False,False
